"d","name","avg_kincaid","kincaid"
"2012-01-01"," APOSENTADORIA PARLAMENTAR",8,0.11693468
"2012-01-01"," CARGO DE NATUREZA ESPECIAL",10,0.0581688
"2012-01-01"," INATIVO",5,0.1044544
"2012-01-01"," PARLAMENTAR",740,21.91501307
"2012-01-01"," PENSAO CIVIL",6,0.06914808
"2012-01-01"," QUADRO EFETIVO",8393,200.17810786
"2012-01-01"," SECRETARIO PARLAMENTAR",12,0.07456109
"2012-01-01"," SECRETARIO PARLAMENTAR REQUISITADO",5,0.00723109
"2013-01-01"," APOSENTADORIA PARLAMENTAR",13,0.18254185
"2013-01-01"," CARGO DE NATUREZA ESPECIAL",23,0.11648413
"2013-01-01"," INATIVO",26,0.64881447
"2013-01-01"," PARLAMENTAR",1726,52.30790465
"2013-01-01"," PENSAO CIVIL",16,0.21337269
"2013-01-01"," QUADRO EFETIVO",19648,510.24513245
"2013-01-01"," SECRETARIO PARLAMENTAR",31,0.26694296
"2013-01-01"," SECRETARIO PARLAMENTAR REQUISITADO",16,0.02529934
"2014-01-01"," APOSENTADORIA PARLAMENTAR",27,0.3834644
"2014-01-01"," CARGO DE NATUREZA ESPECIAL",16,0.06847144
"2014-01-01"," INATIVO",33,0.87240956
"2014-01-01"," PARLAMENTAR",1681,47.3934089
"2014-01-01"," PENSAO CIVIL",15,0.19559919
"2014-01-01"," QUADRO EFETIVO",20476,567.8787705
"2014-01-01"," SECRETARIO PARLAMENTAR",28,0.24356237
"2015-01-01"," APOSENTADORIA PARLAMENTAR",22,0.44010299
"2015-01-01"," CARGO DE NATUREZA ESPECIAL",16,0.07190124
"2015-01-01"," INATIVO",26,0.75443978
"2015-01-01"," PARLAMENTAR",3817,135.77358858
"2015-01-01"," PENSAO CIVIL",17,0.22259537
"2015-01-01"," QUADRO EFETIVO",23478,725.41754549
"2015-01-01"," SECRETARIO PARLAMENTAR",17,0.08271317
"2016-01-01"," APOSENTADORIA PARLAMENTAR",17,0.37270405
"2016-01-01"," CARGO DE NATUREZA ESPECIAL",16,0.18057323
"2016-01-01"," INATIVO",9,0.25278077
"2016-01-01"," PARLAMENTAR",4467,153.72063593
"2016-01-01"," PENSAO CIVIL",20,0.29699375
"2016-01-01"," QUADRO EFETIVO",24333,751.32561622
"2016-01-01"," SECRETARIO PARLAMENTAR",14,0.09977125
"2017-01-01"," CARGO DE NATUREZA ESPECIAL",5,0.06402554
"2017-01-01"," INATIVO",8,0.22855411
"2017-01-01"," PARLAMENTAR",2946,101.73037856
"2017-01-01"," PENSAO CIVIL",12,0.19138594
"2017-01-01"," QUADRO EFETIVO",12636,423.80673043
"2017-01-01"," SECRETARIO PARLAMENTAR",5,0.04845445
