d,name,avg_kincaid,kincaid
2013-01-01,ADMINISTRAÇÃO,9309,193.46704198
2013-01-01,ADVOCACIA,432,9.57122645
2013-01-01,ANÁLISE DE CUSTOS,24,0.53746194
2013-01-01,ANALISTA LEGISLATIVO,36,0.7170806
2013-01-01,APOSENTADORIA SERVIDOR IPC/PSSC,4363,2.13738768
2013-01-01,ARQUITETURA,84,1.75209961
2013-01-01,ARQUIVOLOGIA,96,1.40230081
2013-01-01,ASSESSOR,12,0.33654075
2013-01-01,ASSESSORAMENTO EM ORÇAMENTOS,493,11.43514215
2013-01-01,ASSESSORAMENTO LEGISLATIVO,3462,78.77351374
2013-01-01,ASSISTÊNCIA A PLENÁRIOS E PORTARIA,1823,32.17715349
2013-01-01,ASSISTÊNCIA SOCIAL,24,0.39153923
2013-01-01,BIBLIOTECONOMIA,576,12.33191225
2013-01-01,CHEFE DE GABINETE DA PRESIDÊNCIA,12,0.27008344
2013-01-01,COMUNICAÇÃO SOCIAL,3967,74.0263413
2013-01-01,CONTABILIDADE,348,7.49304855
2013-01-01,DIRETOR,48,1.15337114
2013-01-01,DIRETOR-EXECUTIVO,12,0.30450408
2013-01-01,DIRETOR DE SECRETARIA,24,0.50278659
2013-01-01,EDIFICAÇÕES,2939,55.59306043
2013-01-01,ELETRÔNICA E TELECOMUNICAÇÕES,672,12.17539405
2013-01-01,ENFERMAGEM,708,13.67761718
2013-01-01,ENGENHARIA,204,4.75500562
2013-01-01,FARMÁCIA,24,0.46249415
2013-01-01,FISIOTERAPIA,12,0.19396952
2013-01-01,INFORMÁTICA LEGISLATIVA,5801,124.53717324
2013-01-01,MANUTENÇÃO DE MÁQUINAS GRÁFICAS,72,1.87721838
2013-01-01,MEDICINA,972,22.23474115
2013-01-01,NaN,16427,100.91791467
2013-01-01,NUTRIÇÃO,12,0.18535549
2013-01-01,ODONTOLOGIA,84,1.95082012
2013-01-01,ORÇAMENTO PÚBLICO,730,16.78534157
2013-01-01,POLICIAL LEGISLATIVO FEDERAL,5171,101.9755305
2013-01-01,PROCESSO INDUSTRIAL GRÁFICO,7044,149.77517289
2013-01-01,PROCESSO LEGISLATIVO,18595,404.23270401
2013-01-01,PSICOLOGIA,84,1.54805661
2013-01-01,RADIOLOGIA,36,0.55988485
2013-01-01,REABILITAÇÃO,24,0.59784734
2013-01-01,REDAÇÃO E REVISÃO,708,16.11673352
2013-01-01,REGISTRO E REDAÇÃO PARLAMENTAR,1644,37.08621691
2013-01-01,SECRETÁRIO PARLAMENTAR,84,1.53072339
2013-01-01,SEGURANÇA,1344,26.60008066
2013-01-01,TELEFONIA,12,0.15453319
2013-01-01,TRADUÇÃO E INTERPRETAÇÃO,108,2.32320243
2014-01-01,ADMINISTRAÇÃO,9663,206.50204633
2014-01-01,ADVOCACIA,432,10.05396667
2014-01-01,ANÁLISE DE CUSTOS,24,0.56418218
2014-01-01,ANALISTA LEGISLATIVO,36,0.75126352
2014-01-01,APOSENTADORIA SERVIDOR IPC/PSSC,4368,2.48341326
2014-01-01,ARQUITETURA,89,1.90144465
2014-01-01,ARQUIVOLOGIA,119,1.90056839
2014-01-01,ASSESSOR,12,0.35329483
2014-01-01,ASSESSORAMENTO EM ORÇAMENTOS,577,13.63142569
