deputado;partido;uf;impeachment_dilma;emendas_prometidas;emendas_pagas;voto_temer
Abel Mesquita Jr;DEM;RR;SIM;7061477.00;39265.18;NÃO
Adail Carneiro;PP;CE;SIM;8963739.00;820189.29;Abstenção
Adalberto Cavalcanti;PTB;PE;NÃO;7597298.75;261250.15;NÃO
Adelmo Carneiro Leão;PT;MG;NÃO;4116583.05;4605723.98;SIM
Adelson Barreto;PR;SE;SIM;10145850.54;1578895.76;SIM
Ademir Camilo;PODE;MG;Não estava no cargo;9619817.00;536384.40;NÃO
Adilton Sachetti;PSB;MT;SIM;7610953.00;778879.95;NÃO
Aelton Freitas;PR;MG;NÃO;6767961.54;1685451.83;NÃO
Afonso Florence;PT;BA;NÃO;5370000.00;2119199.81;SIM
Afonso Hamm;PP;RS;SIM;9135074.00;2599856.82;SIM
Afonso Motta;PDT;RS;NÃO;7324361.78;1730238.40;SIM
Aguinaldo Ribeiro;PP;PB;SIM;10033523.00;1185766.31;NÃO
Alan Rick;DEM;AC;SIM;6500000.00;192579.14;SIM
Alberto Fraga;DEM;DF;SIM;3000000.00;0.00;NÃO
Alceu Moreira;PMDB;RS;SIM;6650012.10;1680051.10;NÃO
Alessandro Molon;Rede;RJ;NÃO;1445748.40;4120345.13;SIM
Alex Canziani;PTB;PR;SIM;6442233.00;1199279.33;NÃO
Alex Manente;PPS;SP;SIM;9066453.00;0.00;SIM
Alexandre Baldy;PODE;GO;SIM;6432953.00;1067394.52;NÃO
Alexandre Leite;DEM;SP;SIM;3339857.00;2102897.98;Abstenção
Alexandre Serfiotis;PMDB;RJ;SIM;2560370.00;5798151.99;Abstenção
Alexandre Valle;PR;RJ;SIM;7722953.00;232749.09;NÃO
Alfredo Kaefer;PSL;PR;SIM;10212153.00;1776210.59;NÃO
Alfredo Nascimento;PR;AM;SIM;5463184.00;0.00;NÃO
Alice Portugal;PCdoB;BA;NÃO;10565500.00;1352462.92;SIM
Aliel Machado;Rede;PR;NÃO;5770385.00;770432.63;SIM
Altineu Côrtes;PMDB;RJ;SIM;8070653.00;227421.62;NÃO
Aluisio Mendes;PODE;MA;NÃO;10469538.00;0.00;NÃO
Ana Perugini;PT;SP;NÃO;5723291.10;4376242.30;SIM
André Abdon;PP;AP;SIM;8168307.00;2225199.27;NÃO
André Amaral;PMDB;PB;Não estava no cargo;6408362.57;0.00;NÃO
André de Paula;PSD;PE;SIM;5231165.00;0.00;SIM
André Figueiredo;PDT;CE;Não estava no cargo;6759100.00;132146.24;SIM
André Fufuca;PP;MA;SIM;10389888.00;23487.20;NÃO
André Moura;PSC;SE;SIM;9582835.55;275575.17;NÃO
Andres Sanchez;PT;SP;NÃO;6972943.00;1173969.12;SIM
Angelim;PT;AC;NÃO;5408919.65;89072.16;SIM
Aníbal Gomes;PMDB;CE;Ausente;10159577.00;576356.52;NÃO
Antonio Brito;PSD;BA;NÃO;9989816.54;2423644.02;SIM
Antonio Bulhões;PRB;SP;SIM;8142540.00;2399119.37;NÃO
Antonio Carlos Mendes Thame;PV;SP;Não estava no cargo;NaN;NaN;SIM
Antônio Imbassahy;PSDB;BA;SIM;3975702.71;533720.48;NÃO
Antônio Jácome;PODE;RN;SIM;6841825.00;1701205.56;SIM
Ariosto Holanda;PDT;CE;NÃO;0.00;1064298.47;SIM
Arlindo Chinaglia;PT;SP;NÃO;7352162.00;2065042.51;SIM
Arnaldo Faria de Sá;PTB;SP;SIM;8101360.54;4818016.44;SIM
Arnaldo Jordy;PPS;PA;SIM;3509698.78;3418147.65;SIM
Arolde de Oliveira;PSC;RJ;SIM;NaN;NaN;SIM
Arthur Lira;PP;AL;SIM;1236340.00;1476900.39;NÃO
Arthur Oliveira Maia;PPS;BA;SIM;2315216.83;737034.02;NÃO
Arthur Virgílio Bisneto;PSDB;AM;SIM;5559769.00;110137.09;NÃO
Assis Carvalho;PT;PI;NÃO;7000625.00;2108819.73;SIM
