SENADOR,EFETIVOS,COMISSIONADOS,TERCEIRIZADOS,ESTAGIÁRIO,ESCRITÓRIO DE APOIO,TOTAL
JOÃO ALBERTO SOUZA,3,50,4,,28,85
FERNANDO COLLOR,5,46,3,1,28,83
HÉLIO JOSÉ,5,33,4,,41,83
IVO CASSOL,5,13,4,,49,71
VICENTINHO ALVES,3,19,4,,41,67
VALDIR RAUPP,3,29,4,,30,66
BENEDITO DE LIRA,3,10,4,,48,65
VANESSA GRAZZIOTIN,6,13,4,,42,65
ELMANO FÉRRER,3,21,4,,35,63
JOÃO CAPIBERIBE,2,13,4,,43,62
CASSIO CUNHA LIMA,1,20,4,,36,61
EDUARDO LOPES,2,16,3,,39,60
ZEZÉ PERRELLA,4,27,4,,24,59
LÍDICE DA MATA,4,19,4,,29,56
ROMERO JUCÁ,2,30,2,,22,56
CIRO NOGUEIRA,1,28,4,,21,54
EDUARDO AMORIM,5,12,4,,33,54
RONALDO CAIADO,5,23,4,,22,54
MAGNO MALTA,2,15,4,,31,52
TELMÁRIO MOTA,2,10,4,,35,51
JOSÉ AGRIPINO,6,18,4,,22,50
ROBERTO ROCHA,5,27,4,,14,50
ACIR GURGACZ,1,41,4,,3,49
ANTONIO CARLOS VALADARES,3,13,4,,28,48
RANDOLFE RODRIGUES,3,9,4,,32,48
RENAN CALHEIROS,2,19,4,,23,48
EDISON LOBÃO,4,28,3,,12,47
GLADSON CAMELI,6,12,4,,23,45
KATIA ABREU,1,15,3,,26,45
PAULO ROCHA,1,13,4,,27,45
WELLINGTON FAGUNDES,2,28,4,,11,45
GARIBALDI ALVES FILHO,4,16,4,,19,43
JOSÉ PIMENTEL,3,11,4,,25,43
ATAÍDES OLIVEIRA,4,14,4,,20,42
ANGELA PORTELA,7,11,4,,19,41
FERNANDO BEZERRA COELHO,1,19,4,,17,41
GLEISI HOFFMANN,4,8,3,,26,41
HUMBERTO COSTA,3,13,4,,21,41
ARMANDO MONTEIRO,3,19,4,,14,40
DAVI ALCOLUMBRE,1,27,3,,9,40
OMAR AZIZ,4,33,3,,0,40
PAULO PAIM,,19,4,,16,39
SÉRGIO PETECÃO,1,9,4,,25,39
WILDER MORAIS,1,14,5,,19,39
CIDINHO SANTOS,1,22,4,,11,38
EUNÍCIO OLIVEIRA,2,8,4,,23,37
MARIA DO CARMO ALVES,5,8,4,,20,37
MARTA SUPLICY,3,12,4,2,16,37
OTTO ALENCAR,5,10,4,,18,37
FATIMA BEZERRA,2,7,4,,23,36
LINDBERGH FARIAS,4,12,4,,16,36
ROBERTO MUNIZ,5,11,5,,15,36
JOSÉ MEDEIROS,4,14,4,,13,35
PEDRO CHAVES,2,12,4,,17,35
ROMÁRIO,2,16,4,,13,35
ALVARO DIAS,2,20,4,,8,34
EDUARDO BRAGA,5,20,4,,5,34
JORGE VIANA,1,12,4,,16,33
WALDEMIR MOKA,2,17,4,,10,33
AIRTON SANDOVAL,4,15,3,,10,32
FLEXA RIBEIRO,2,17,4,,9,32
JOSÉ MARANHÃO,3,6,4,,19,32
REGINA SOUSA,2,14,3,,13,32
ROSE DE FREITAS,,17,4,,10,31
ROBERTO REQUIÃO,5,4,4,,17,30
CRISTOVAM BUARQUE,2,24,3,,,29
LÚCIA VÂNIA,1,15,4,,8,28
SIMONE TEBET,4,12,4,,8,28
AECIO NEVES,1,20,4,,2,27
JADER BARBALHO,1,12,2,,12,27
RAIMUNDO LIRA,1,12,2,,12,27
JOSÉ SERRA,3,10,2,,11,26
RICARDO FERRAÇO,2,10,4,,10,26
ANA AMÉLIA,,17,4,,4,25
DALIRIO BEBER,3,12,4,,5,24
ANTONIO ANASTASIA,1,13,4,,5,23
DARIO BERGER,3,7,4,,8,22
PAULO BAUER,1,7,2,,12,22
TASSO JEREISSATI,2,12,4,,3,21
LASIER MARTINS,2,10,1,,6,19
REGUFFE,1,9,,,,10
